epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.4584,0.9025,0.4696,0.6263,0.5207,0.3218,1.0033,0.3514,0.4484,0.3525,0.3504,1.0264,0.4389,0.4989,0.3457,0.6064,0.7631,0.6071,0.6271,0.7275,0.3017,1.0622,0.3935,0.4447,0.3163,1.2407,1.026167392730713,0.4385952651500702,0.0207,0.4077,0.9515,0.4521,0.5291,0.4525
1,0.4257,0.8991,0.4735,0.6365,0.4932,0.3037,1.004,0.3216,0.4388,0.3477,0.3759,0.9724,0.3989,0.5116,0.4329,0.5643,0.7262,0.602,0.6133,0.7238,0.3541,1.0186,0.4076,0.4926,0.3667,0.4145,0.9539356231689452,0.5294325351715088,0.0277,0.4047,0.9241,0.4407,0.5386,0.4729
2,0.4435,0.881,0.4935,0.6452,0.5155,0.3027,1.0316,0.341,0.4597,0.3453,0.4237,0.9142,0.4662,0.5465,0.4996,0.5672,0.7009,0.6086,0.6157,0.7334,0.3684,1.0057,0.4356,0.507,0.3808,0.4134,0.929649531841278,0.550007164478302,0.0347,0.4211,0.9067,0.469,0.5548,0.4949
3,0.4731,0.8598,0.5122,0.6566,0.5491,0.3111,1.0091,0.3285,0.4599,0.3584,0.4038,0.9262,0.4168,0.5057,0.4774,0.5814,0.6815,0.6135,0.6234,0.7416,0.3976,0.9848,0.4332,0.5252,0.4188,0.4138,0.9137016534805298,0.5618236660957336,0.0416,0.4334,0.8923,0.4608,0.5542,0.5091
4,0.4922,0.84,0.5275,0.6637,0.5739,0.3316,0.9999,0.3545,0.4824,0.3788,0.4337,0.8982,0.4514,0.5303,0.507,0.5922,0.6595,0.6219,0.6298,0.7505,0.4392,0.9422,0.4785,0.5538,0.4688,0.4204,0.901971161365509,0.5727922916412354,0.0487,0.4578,0.868,0.4868,0.572,0.5358
5,0.5059,0.8197,0.5419,0.6722,0.5926,0.3679,0.9407,0.3827,0.5097,0.425,0.4558,0.867,0.4903,0.546,0.5286,0.6024,0.6344,0.6309,0.6378,0.758,0.4212,0.9587,0.4667,0.5395,0.4466,0.4012,0.8861080408096313,0.5829648971557617,0.0555,0.4706,0.8441,0.5025,0.581,0.5502
6,0.5134,0.8045,0.5545,0.6835,0.5992,0.3495,0.9912,0.3731,0.5083,0.393,0.4726,0.8406,0.5109,0.5739,0.5384,0.6035,0.6149,0.6304,0.645,0.7576,0.4729,0.9078,0.4949,0.5831,0.5082,0.399,0.8668133020401001,0.5970956683158875,0.0623,0.4824,0.8318,0.5128,0.5988,0.5593
7,0.5284,0.7791,0.569,0.6949,0.618,0.4165,0.8973,0.4315,0.5613,0.486,0.4983,0.7942,0.5417,0.5924,0.5808,0.6099,0.5835,0.6384,0.6508,0.7638,0.5128,0.8721,0.529,0.6133,0.5604,0.3946,0.8439533114433289,0.6098518371582031,0.069,0.5132,0.7852,0.5419,0.6225,0.6018
8,0.5357,0.7653,0.5766,0.7035,0.6253,0.4229,0.9108,0.4348,0.5739,0.4847,0.499,0.783,0.568,0.6073,0.5642,0.6114,0.5626,0.6395,0.6546,0.7654,0.5348,0.839,0.5437,0.6325,0.5892,0.4051,0.8207675814628601,0.6211695671081543,0.0758,0.5208,0.7721,0.5525,0.6344,0.6058
9,0.5544,0.7438,0.585,0.7105,0.65,0.4224,0.8866,0.4402,0.5628,0.4987,0.515,0.7618,0.5451,0.6075,0.5874,0.6208,0.5436,0.6422,0.6584,0.7708,0.561,0.7826,0.5621,0.6542,0.6278,0.391,0.8066992163658142,0.6293172240257263,0.0825,0.5347,0.7437,0.5549,0.6387,0.6269
10,0.5634,0.732,0.5901,0.7147,0.6604,0.5071,0.7715,0.53,0.6256,0.5932,0.5211,0.7227,0.5787,0.6337,0.5937,0.6266,0.5369,0.6411,0.6636,0.7721,0.5756,0.7794,0.574,0.6602,0.6417,0.3947,0.7943528294563293,0.6367825865745544,0.0892,0.5588,0.7085,0.5828,0.6596,0.6522
11,0.5816,0.715,0.5975,0.7213,0.6853,0.5103,0.7632,0.5285,0.6068,0.6028,0.5401,0.6842,0.5943,0.6295,0.621,0.6399,0.5233,0.6494,0.6697,0.7813,0.5937,0.7538,0.5861,0.6717,0.6629,0.4337,0.7864716649055481,0.6428734064102173,0.0966,0.5731,0.6879,0.5912,0.6598,0.6707
12,0.5946,0.7033,0.6033,0.7272,0.7019,0.4943,0.8193,0.5282,0.6213,0.5603,0.5427,0.6834,0.5906,0.6444,0.6224,0.6473,0.5151,0.6533,0.6729,0.7858,0.5416,0.763,0.5567,0.6453,0.6077,0.4328,0.7831571698188782,0.6451197862625122,0.1039,0.5641,0.6968,0.5864,0.6622,0.6556
13,0.603,0.6954,0.607,0.7306,0.7122,0.5,0.7867,0.5293,0.5992,0.5799,0.5594,0.6694,0.5841,0.6275,0.6388,0.6513,0.5081,0.6555,0.6749,0.7886,0.596,0.7101,0.5955,0.6825,0.6727,0.4235,0.7745808959007263,0.6507916450500488,0.1111,0.5819,0.6739,0.5943,0.6629,0.6784
14,0.6177,0.6815,0.6145,0.7328,0.732,0.487,0.8188,0.521,0.594,0.5622,0.5697,0.6507,0.5877,0.6253,0.6539,0.6581,0.502,0.6595,0.6758,0.7946,0.5553,0.7266,0.574,0.6564,0.6274,0.4208,0.7721384167671204,0.652633011341095,0.1182,0.5776,0.6759,0.5913,0.6569,0.674
15,0.6232,0.6746,0.618,0.7353,0.7388,0.5258,0.7486,0.5465,0.6395,0.6124,0.5729,0.6541,0.589,0.626,0.6556,0.6595,0.4993,0.6592,0.676,0.7958,0.5614,0.716,0.5808,0.6634,0.6343,0.409,0.7666519284248352,0.6568405032157898,0.1252,0.5886,0.6585,0.5987,0.668,0.6874
16,0.6298,0.6714,0.6215,0.7386,0.7457,0.5032,0.7846,0.5309,0.6291,0.5795,0.556,0.6557,0.6037,0.6441,0.631,0.6626,0.4905,0.6637,0.6767,0.7984,0.5755,0.7398,0.5778,0.67,0.6439,0.4049,0.7643255591392517,0.6574450135231018,0.132,0.5854,0.6684,0.5995,0.6717,0.6797
17,0.6339,0.6647,0.6241,0.7409,0.7504,0.5217,0.7549,0.5512,0.6269,0.6063,0.5481,0.6621,0.5928,0.6361,0.6284,0.6662,0.4932,0.6647,0.6803,0.799,0.565,0.7152,0.5858,0.6733,0.6353,0.404,0.7618256211280823,0.6611298322677612,0.139,0.587,0.658,0.6037,0.6715,0.6839
18,0.6385,0.6606,0.6272,0.7435,0.7554,0.5274,0.7728,0.5534,0.6617,0.5989,0.5529,0.6604,0.5967,0.6493,0.63,0.6673,0.4906,0.6655,0.6806,0.8,0.5687,0.7101,0.5903,0.6794,0.6395,0.4077,0.7585986256599426,0.6626839637756348,0.1459,0.591,0.6589,0.6066,0.6829,0.6848
19,0.6476,0.6536,0.6326,0.7448,0.7657,0.499,0.8073,0.5344,0.6059,0.5764,0.5705,0.6636,0.5838,0.6231,0.6496,0.6715,0.4859,0.6698,0.6814,0.8032,0.6445,0.6846,0.6285,0.7134,0.7157,0.4022,0.7616699934005737,0.6595776677131653,0.1528,0.6066,0.659,0.6098,0.6737,0.7021
20,0.6514,0.6509,0.6352,0.747,0.7693,0.4264,0.9496,0.4604,0.5622,0.4801,0.5748,0.624,0.6137,0.6546,0.6642,0.6734,0.4832,0.672,0.6826,0.8048,0.5789,0.7003,0.5959,0.6912,0.6515,0.3953,0.7592456340789795,0.6636295914649963,0.1595,0.581,0.6816,0.5954,0.6675,0.674
21,0.6536,0.6476,0.6371,0.7501,0.7712,0.4799,0.8124,0.5236,0.5824,0.5582,0.5683,0.6313,0.6034,0.6493,0.6657,0.6737,0.4844,0.6715,0.6836,0.8039,0.582,0.7252,0.593,0.6848,0.6512,0.399,0.7590578198432922,0.664277970790863,0.1663,0.5915,0.6602,0.6057,0.67,0.69
22,0.6595,0.6422,0.6412,0.7505,0.778,0.5049,0.7869,0.5494,0.6347,0.581,0.5668,0.6334,0.6078,0.6413,0.6569,0.6756,0.4813,0.6738,0.6835,0.8069,0.5822,0.6898,0.6056,0.6977,0.6555,0.3931,0.7544490694999695,0.6660335659980774,0.1729,0.5978,0.6467,0.6156,0.6815,0.6957
23,0.6625,0.6388,0.6432,0.7504,0.781,0.4766,0.8505,0.504,0.6031,0.544,0.5898,0.6274,0.5959,0.6344,0.6902,0.6788,0.4782,0.6772,0.6853,0.8091,0.6491,0.6525,0.639,0.735,0.7221,0.3948,0.7503871321678162,0.6688485741615295,0.1796,0.6114,0.6495,0.6119,0.6816,0.7093
24,0.6652,0.6369,0.645,0.7521,0.7828,0.5217,0.7417,0.5557,0.6415,0.6085,0.6002,0.6231,0.6082,0.652,0.6864,0.6798,0.4761,0.6784,0.6856,0.8101,0.5897,0.7095,0.6017,0.6941,0.6611,0.4081,0.7509978413581848,0.6682480573654175,0.1866,0.6113,0.6375,0.6178,0.6851,0.7098
25,0.668,0.6323,0.6473,0.7533,0.7864,0.5045,0.7925,0.5304,0.6367,0.5843,0.5962,0.6375,0.6029,0.6554,0.6806,0.6801,0.478,0.6778,0.6859,0.8097,0.6603,0.6761,0.6411,0.729,0.7258,0.3904,0.7501559853553772,0.6699458360671997,0.1932,0.6218,0.6433,0.6199,0.6921,0.7174
26,0.6712,0.6311,0.6495,0.7555,0.7878,0.5299,0.7481,0.5718,0.6675,0.6077,0.5648,0.6457,0.6062,0.6316,0.645,0.6824,0.4736,0.6813,0.687,0.813,0.5919,0.7157,0.5992,0.6963,0.6618,0.3982,0.7485557198524475,0.6706899404525757,0.2,0.608,0.6428,0.6216,0.6876,0.7031
27,0.6735,0.6259,0.6514,0.7555,0.7912,0.5089,0.7857,0.5558,0.6345,0.589,0.5913,0.644,0.5997,0.6467,0.6724,0.685,0.4756,0.6828,0.6894,0.8134,0.6558,0.6679,0.6399,0.7321,0.7257,0.3981,0.7473499178886414,0.6703827381134033,0.2067,0.6229,0.6398,0.6259,0.6916,0.7183
28,0.6759,0.6264,0.6533,0.7571,0.7923,0.5042,0.7792,0.5526,0.628,0.5862,0.5832,0.6214,0.6154,0.6517,0.6767,0.6853,0.4705,0.6847,0.6885,0.8147,0.5916,0.6771,0.6188,0.7151,0.6645,0.4076,0.7449542284011841,0.6723198890686035,0.2136,0.608,0.6349,0.625,0.6881,0.7069
29,0.6769,0.6214,0.6543,0.7575,0.7948,0.4881,0.8052,0.5143,0.6084,0.5705,0.5874,0.6212,0.6177,0.6547,0.6793,0.6861,0.4771,0.6831,0.6907,0.8133,0.5924,0.6828,0.6176,0.7152,0.6628,0.3876,0.7520676255226135,0.6669732332229614,0.2202,0.6062,0.6415,0.6174,0.6853,0.7041
30,0.6817,0.6193,0.6582,0.7586,0.7989,0.4754,0.842,0.5072,0.6112,0.5513,0.6097,0.6022,0.6156,0.6542,0.6998,0.6885,0.4718,0.6879,0.6904,0.8175,0.6597,0.6296,0.6533,0.7537,0.7354,0.3959,0.7500085234642029,0.6702510714530945,0.2269,0.623,0.633,0.6244,0.6936,0.7206
31,0.6817,0.6201,0.6581,0.7591,0.7983,0.5105,0.7738,0.5581,0.5973,0.603,0.5672,0.6277,0.6079,0.6458,0.6548,0.6891,0.4707,0.6885,0.691,0.8185,0.658,0.6316,0.6524,0.7542,0.7333,0.4046,0.7457013726234436,0.6725872159004211,0.2338,0.6213,0.6248,0.633,0.6895,0.7216
32,0.6812,0.6179,0.6578,0.7617,0.7981,0.5197,0.7746,0.5713,0.6537,0.5971,0.6078,0.605,0.6144,0.6702,0.6981,0.6896,0.4732,0.6873,0.6931,0.8171,0.5977,0.7082,0.607,0.7044,0.6677,0.4022,0.7405725121498108,0.6759069561958313,0.2406,0.6192,0.6358,0.6276,0.6966,0.7156
33,0.6808,0.6189,0.6575,0.7623,0.7974,0.4436,0.8942,0.4847,0.5719,0.5123,0.6177,0.5967,0.6239,0.6764,0.7032,0.6893,0.4719,0.6871,0.6928,0.8171,0.657,0.6365,0.6523,0.7579,0.7307,0.3999,0.746155321598053,0.6731318831443787,0.2474,0.6177,0.6436,0.6211,0.6923,0.7121
34,0.6834,0.6164,0.6596,0.7626,0.8001,0.4787,0.8098,0.5234,0.6033,0.5606,0.609,0.6175,0.6149,0.6588,0.693,0.6896,0.473,0.6873,0.6928,0.8174,0.5966,0.688,0.6193,0.7228,0.6663,0.3942,0.7473902106285095,0.6708994507789612,0.2541,0.6115,0.6409,0.6209,0.6881,0.7075
35,0.6879,0.613,0.6633,0.7625,0.8039,0.4692,0.8765,0.5132,0.6059,0.535,0.604,0.6091,0.6149,0.6588,0.6869,0.6916,0.4703,0.6906,0.6933,0.8193,0.5992,0.7061,0.6082,0.7055,0.6695,0.3951,0.7447550892829895,0.67355877161026,0.2608,0.6104,0.655,0.618,0.6852,0.7029
36,0.689,0.6121,0.6642,0.764,0.8043,0.5109,0.7879,0.5611,0.6419,0.5917,0.6203,0.5944,0.6256,0.6779,0.7049,0.6924,0.4704,0.6911,0.6942,0.8194,0.5982,0.6778,0.6264,0.7256,0.669,0.3962,0.7448865175247192,0.6744745373725891,0.2675,0.6222,0.6285,0.6337,0.7007,0.7179
37,0.6914,0.6104,0.6662,0.7651,0.806,0.535,0.72,0.5844,0.6613,0.6265,0.5788,0.6236,0.6229,0.6629,0.6569,0.6932,0.4695,0.6925,0.6944,0.8206,0.6682,0.6629,0.6491,0.7403,0.7341,0.4057,0.7417532801628113,0.6748834848403931,0.2744,0.6333,0.6173,0.643,0.7048,0.7288
38,0.6952,0.6088,0.6698,0.7629,0.8096,0.4774,0.8168,0.5157,0.5911,0.5651,0.5811,0.6265,0.6157,0.65,0.6692,0.6941,0.4645,0.6957,0.6929,0.8225,0.6061,0.6713,0.627,0.7294,0.6792,0.3884,0.7408883571624756,0.6756396293640137,0.281,0.6108,0.6376,0.6248,0.6853,0.7091
39,0.6873,0.6134,0.6628,0.7681,0.8024,0.5216,0.7623,0.5759,0.6423,0.6065,0.6023,0.6254,0.6109,0.6595,0.6831,0.6935,0.4722,0.6908,0.6972,0.8183,0.658,0.6642,0.6441,0.7418,0.7279,0.3956,0.7427589297294617,0.6749213933944702,0.2878,0.6325,0.6275,0.6369,0.7018,0.7276
40,0.692,0.61,0.6667,0.7687,0.8066,0.5253,0.7289,0.579,0.6405,0.6156,0.585,0.6038,0.618,0.6631,0.6903,0.6953,0.4717,0.6935,0.6975,0.8201,0.6617,0.633,0.656,0.7633,0.7347,0.3981,0.7457377910614014,0.672864556312561,0.2946,0.6319,0.6095,0.6426,0.7066,0.7335
41,0.6904,0.6111,0.6653,0.7686,0.8051,0.5201,0.7834,0.5698,0.6425,0.6014,0.5784,0.6266,0.6215,0.6549,0.6561,0.695,0.4733,0.6922,0.6983,0.8195,0.5961,0.7173,0.6078,0.7065,0.6637,0.3957,0.7419400215148926,0.6766351461410522,0.3013,0.616,0.6423,0.6313,0.6942,0.7092
42,0.6963,0.6078,0.6704,0.7677,0.8092,0.4726,0.8569,0.5447,0.5801,0.5445,0.6047,0.605,0.6142,0.6516,0.6915,0.6964,0.4659,0.6968,0.6963,0.8217,0.6703,0.6586,0.6513,0.7436,0.7359,0.3976,0.7417976260185242,0.675172746181488,0.308,0.6281,0.6388,0.6355,0.6879,0.7206
43,0.6987,0.6047,0.6727,0.7673,0.8119,0.4615,0.848,0.506,0.6009,0.5425,0.6044,0.6208,0.6069,0.6463,0.7044,0.6971,0.4653,0.6983,0.6962,0.8235,0.6011,0.6938,0.6166,0.7103,0.6734,0.3987,0.737470269203186,0.6773832440376282,0.3148,0.6126,0.6465,0.6201,0.6842,0.7111
44,0.6957,0.6059,0.6698,0.7695,0.8096,0.5254,0.7592,0.5788,0.6698,0.6062,0.5787,0.6389,0.6165,0.65,0.661,0.6966,0.4692,0.6954,0.698,0.8221,0.6032,0.6837,0.6256,0.7315,0.6724,0.3966,0.7399763464927673,0.67689448595047,0.3215,0.6199,0.6314,0.6372,0.7038,0.7143
45,0.695,0.608,0.6691,0.7709,0.8081,0.4422,0.9043,0.5024,0.5786,0.5082,0.6077,0.6085,0.614,0.6618,0.6987,0.6965,0.467,0.6952,0.698,0.8216,0.5981,0.6822,0.6288,0.7306,0.6669,0.3983,0.7362504601478577,0.6797294020652771,0.3283,0.6079,0.654,0.6219,0.688,0.7007
46,0.7009,0.605,0.6747,0.7682,0.8131,0.5082,0.7974,0.5825,0.6394,0.578,0.5665,0.6554,0.6049,0.6413,0.6484,0.6969,0.464,0.6985,0.6954,0.8238,0.6758,0.6281,0.6629,0.7689,0.7445,0.402,0.742763876914978,0.6760885119438171,0.3351,0.6297,0.63,0.6447,0.7026,0.7216
47,0.7015,0.6066,0.6751,0.7697,0.8127,0.4887,0.8035,0.5256,0.6363,0.572,0.5724,0.6358,0.6104,0.6589,0.6681,0.6977,0.4611,0.6996,0.6961,0.8258,0.6707,0.6213,0.6636,0.7708,0.7433,0.402,0.7385103702545166,0.6779319047927856,0.3419,0.6262,0.6257,0.6349,0.7064,0.7244
48,0.696,0.6073,0.6699,0.7729,0.8087,0.4812,0.8257,0.5233,0.6187,0.5596,0.5628,0.6661,0.605,0.6428,0.6388,0.6986,0.4695,0.6968,0.7007,0.8215,0.5974,0.6872,0.6281,0.7296,0.6649,0.3986,0.7379361987113953,0.6782790422439575,0.3487,0.6072,0.6512,0.6246,0.6929,0.6987
49,0.7004,0.6055,0.6739,0.772,0.8121,0.4504,0.9076,0.5026,0.6096,0.5123,0.5778,0.6494,0.619,0.6604,0.6533,0.6999,0.4634,0.701,0.6989,0.8258,0.6684,0.6246,0.6616,0.7703,0.7408,0.398,0.7367416620254517,0.6798371076583862,0.3554,0.6194,0.6501,0.6316,0.7022,0.7089
50,0.7033,0.6023,0.6767,0.7711,0.8149,0.476,0.8635,0.5225,0.6236,0.5455,0.5978,0.6292,0.6096,0.66,0.6758,0.6988,0.4638,0.7,0.6977,0.8252,0.6772,0.6265,0.6637,0.7709,0.7453,0.4012,0.7381711006164551,0.6764435768127441,0.3622,0.6306,0.6371,0.6345,0.7047,0.7213
51,0.7036,0.604,0.6768,0.7721,0.814,0.4954,0.8174,0.5541,0.6121,0.5741,0.6001,0.6346,0.6082,0.6425,0.6837,0.6999,0.4608,0.7018,0.6982,0.8264,0.604,0.6989,0.6147,0.7123,0.6757,0.3919,0.736392080783844,0.6795737743377686,0.3689,0.6206,0.6431,0.6311,0.6874,0.7148
52,0.7001,0.6065,0.6735,0.7749,0.8113,0.4759,0.8062,0.5136,0.5757,0.5725,0.5891,0.6116,0.6231,0.6749,0.6858,0.7009,0.4627,0.7009,0.7011,0.8254,0.6713,0.6572,0.6528,0.7474,0.7369,0.4017,0.7366827130317688,0.6788595914840698,0.3757,0.6275,0.6288,0.6328,0.6948,0.7264
53,0.7083,0.5964,0.6816,0.7707,0.8193,0.539,0.7195,0.5973,0.6758,0.6268,0.5896,0.6283,0.6208,0.6583,0.6751,0.7004,0.4637,0.7026,0.6983,0.8255,0.677,0.6153,0.6662,0.7736,0.749,0.4101,0.7363965511322021,0.6792007088661194,0.3827,0.6429,0.6046,0.6537,0.7153,0.7391
54,0.7083,0.5963,0.6813,0.7725,0.8184,0.5104,0.7957,0.5818,0.6465,0.5861,0.5754,0.6465,0.6085,0.647,0.6649,0.7009,0.4625,0.7025,0.6993,0.8262,0.6766,0.6479,0.6565,0.7465,0.7424,0.3942,0.7310903668403625,0.6833204030990601,0.3893,0.6343,0.6298,0.6461,0.7024,0.7276
55,0.708,0.5982,0.6809,0.7733,0.8179,0.5287,0.7664,0.5898,0.6759,0.6039,0.6082,0.6286,0.6104,0.6528,0.6984,0.7014,0.4617,0.703,0.6998,0.8263,0.6811,0.6232,0.6663,0.7738,0.7483,0.4012,0.7360774874687195,0.6804675459861755,0.3962,0.6455,0.6156,0.6501,0.7151,0.739
56,0.7104,0.5948,0.6836,0.7713,0.8204,0.5178,0.7721,0.5756,0.6604,0.5975,0.5817,0.6214,0.617,0.6616,0.6742,0.7026,0.4622,0.7052,0.7001,0.8273,0.6721,0.6425,0.6551,0.7485,0.7424,0.3936,0.738670825958252,0.6794600486755371,0.4028,0.6369,0.6186,0.6473,0.7084,0.7324
