epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.2022,1.1119,0.3991,0.3521,0.2705,0.2223,1.1237,0.2474,0.3341,0.3896,0.2392,1.135,0.2853,0.3953,0.3592,0.2958,1.0769,0.2667,0.3725,0.5637,0.2247,1.1126,0.4156,0.3213,0.4228,1.3054,1.1530786752700806,0.265672892332077,0.0218,0.2368,1.112,0.3228,0.3551,0.4012
1,0.2861,1.031,0.3566,0.4132,0.345,0.2616,1.0446,0.3676,0.3696,0.4493,0.2194,1.049,0.4354,0.3559,0.3798,0.2992,1.0088,0.4271,0.3623,0.6032,0.2981,1.0397,0.535,0.391,0.4706,0.4232,1.0793187618255615,0.3972265124320984,0.029,0.2729,1.0346,0.4243,0.3784,0.4496
2,0.2958,1.0141,0.2845,0.4644,0.3285,0.2974,1.0437,0.4902,0.4618,0.4489,0.2253,1.0351,0.4674,0.3683,0.3813,0.3602,0.9885,0.5686,0.4249,0.6161,0.3874,1.0145,0.5423,0.5333,0.4999,0.4218,1.0458476543426514,0.4567180275917053,0.0361,0.3132,1.0192,0.4706,0.4505,0.4549
3,0.288,1.0086,0.3069,0.4975,0.3076,0.3104,1.0261,0.4108,0.5322,0.4421,0.2552,1.008,0.4615,0.3976,0.3958,0.4274,0.968,0.55,0.522,0.64,0.3785,1.0166,0.5194,0.561,0.4907,0.4255,1.0166113376617432,0.5189546942710876,0.0433,0.3319,1.0055,0.4497,0.5021,0.4552
4,0.3328,0.9981,0.3489,0.4996,0.3371,0.3883,0.9646,0.4856,0.5789,0.492,0.38,0.9571,0.4732,0.4497,0.5115,0.5098,0.9126,0.5637,0.5775,0.6643,0.4359,0.9666,0.4997,0.5694,0.5232,0.4257,0.9714496731758118,0.5621927380561829,0.0504,0.4094,0.9598,0.4742,0.535,0.5056
5,0.3503,1.0142,0.3628,0.5046,0.3517,0.3948,0.9674,0.4585,0.583,0.4778,0.3993,0.9201,0.4781,0.4587,0.5301,0.5404,0.8582,0.5739,0.5939,0.6762,0.454,0.9233,0.4868,0.5547,0.5276,0.4115,0.929145872592926,0.586727499961853,0.0573,0.4278,0.9366,0.472,0.539,0.5127
6,0.3709,1.0438,0.3753,0.5054,0.3699,0.4597,0.8939,0.5187,0.5704,0.5697,0.4473,0.8911,0.491,0.4881,0.5803,0.5755,0.808,0.5889,0.6118,0.6981,0.4961,0.9233,0.5164,0.6323,0.5399,0.4122,0.8932808637619019,0.6017540097236633,0.0643,0.4699,0.912,0.4981,0.5616,0.5516
7,0.3821,1.0918,0.3847,0.5116,0.3813,0.4769,0.8877,0.5189,0.5951,0.5732,0.4966,0.8441,0.5186,0.5353,0.6242,0.5971,0.7625,0.6026,0.6257,0.7137,0.5401,0.8655,0.5428,0.6347,0.5924,0.4024,0.8665773272514343,0.6122857332229614,0.0711,0.4986,0.8903,0.5135,0.5805,0.577
8,0.3984,1.1408,0.3951,0.5068,0.3946,0.4961,0.8498,0.5182,0.5846,0.5978,0.5017,0.8119,0.5209,0.5274,0.6537,0.6185,0.7136,0.6214,0.6312,0.7411,0.5014,0.8779,0.4954,0.5734,0.5484,0.4047,0.8417212963104248,0.6255286931991577,0.078,0.5032,0.8788,0.5102,0.5647,0.5871
9,0.4068,1.2084,0.4022,0.5141,0.4057,0.5028,0.8575,0.5274,0.6082,0.5895,0.4909,0.7855,0.5142,0.5182,0.6751,0.6305,0.6801,0.6303,0.6396,0.7508,0.5261,0.8323,0.5276,0.5621,0.5894,1.146,0.8216496706008911,0.6340294480323792,0.0972,0.5114,0.8728,0.5203,0.5684,0.6021
