epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
14,0.4907,0.8561,0.525,0.6717,0.5713,0.6004,0.748,0.6615,0.6188,0.6554,0.5131,0.7545,0.5372,0.5744,0.6392,0.6535,0.6325,0.6597,0.6831,0.7318,0.5067,0.7499,0.5657,0.6522,0.5858,0.8612,0.8236329555511475,0.6147715449333191,0.2011,0.5529,0.7482,0.5898,0.64,0.6367
15,0.5035,0.8431,0.5306,0.6763,0.5881,0.6233,0.7286,0.6445,0.6673,0.6789,0.5354,0.7361,0.5524,0.5942,0.6592,0.6572,0.6184,0.6602,0.6853,0.7449,0.4514,0.7708,0.5106,0.561,0.5513,0.7922,0.8179653286933899,0.6184223890304565,0.2145,0.5542,0.7394,0.5797,0.6368,0.6445
16,0.5173,0.8353,0.5363,0.6702,0.6049,0.6396,0.7376,0.6436,0.6757,0.6831,0.5186,0.7231,0.545,0.5622,0.6656,0.6666,0.6014,0.6689,0.6855,0.7631,0.5069,0.7071,0.5765,0.633,0.5972,0.7693,0.8115847110748291,0.6245132088661194,0.2275,0.5698,0.7209,0.5941,0.6453,0.6628
17,0.5272,0.8317,0.5412,0.6722,0.6158,0.6538,0.7283,0.648,0.6927,0.6969,0.5383,0.7032,0.5589,0.576,0.6918,0.6727,0.5894,0.6738,0.6894,0.7683,0.4702,0.744,0.5252,0.5658,0.575,0.7109,0.8030316233634949,0.6303067803382874,0.2395,0.5724,0.7193,0.5894,0.6392,0.6696
18,0.5324,0.8321,0.5444,0.6735,0.6208,0.6805,0.733,0.7003,0.6911,0.6898,0.5358,0.7081,0.5556,0.5818,0.683,0.6774,0.5801,0.679,0.6925,0.7764,0.5199,0.6874,0.5843,0.64,0.6116,0.7046,0.7998995184898376,0.6331576108932495,0.2514,0.5892,0.7081,0.6127,0.6558,0.6763
19,0.5397,0.828,0.5485,0.6764,0.6293,0.6529,0.6976,0.6536,0.6798,0.714,0.5646,0.702,0.5682,0.596,0.7114,0.6815,0.5736,0.6824,0.6956,0.7787,0.4444,0.7346,0.5172,0.5377,0.5586,0.6719,0.7970395684242249,0.6359366774559021,0.2628,0.5766,0.7072,0.594,0.6371,0.6784
20,0.5527,0.8174,0.5555,0.6752,0.6439,0.6806,0.6903,0.6676,0.7236,0.7316,0.542,0.6733,0.5585,0.5764,0.6956,0.6909,0.5677,0.6906,0.7008,0.7913,0.5657,0.6737,0.6026,0.6822,0.6536,0.7248,0.7942112684249878,0.6399886012077332,0.2753,0.6064,0.6845,0.615,0.6716,0.7032
21,0.5576,0.8164,0.5589,0.674,0.6482,0.6765,0.7092,0.6726,0.7007,0.715,0.5641,0.6747,0.5675,0.5893,0.7148,0.6928,0.5604,0.6934,0.6996,0.7961,0.5705,0.6672,0.6066,0.687,0.6592,0.8648,0.789711594581604,0.6418200135231018,0.2899,0.6123,0.6856,0.6198,0.6701,0.7067
22,0.5642,0.8063,0.5619,0.685,0.6577,0.6533,0.699,0.6562,0.6704,0.7183,0.5598,0.6738,0.5696,0.5939,0.7205,0.6953,0.5598,0.6912,0.7074,0.7939,0.4878,0.721,0.5344,0.5718,0.5946,0.779,0.7886488437652588,0.6431786417961121,0.3031,0.5921,0.692,0.6027,0.6457,0.697
23,0.5721,0.8042,0.5679,0.6844,0.663,0.6806,0.6983,0.6783,0.7047,0.7188,0.5644,0.6672,0.5728,0.5913,0.7292,0.7016,0.5539,0.6995,0.709,0.8037,0.5493,0.6629,0.5997,0.6619,0.6415,0.8107,0.785947859287262,0.6463347673416138,0.3167,0.6136,0.6773,0.6236,0.6703,0.7112
24,0.5766,0.8032,0.5712,0.6853,0.6664,0.7016,0.6778,0.7014,0.7221,0.7325,0.5648,0.6647,0.5722,0.5963,0.7312,0.7036,0.5489,0.7017,0.7105,0.8047,0.4916,0.7173,0.5374,0.5709,0.6014,0.8013,0.7794634699821472,0.6493951082229614,0.3303,0.6076,0.6824,0.6168,0.657,0.7072
25,0.5794,0.7994,0.5735,0.6863,0.6693,0.6215,0.7289,0.6131,0.6404,0.702,0.5667,0.6631,0.5695,0.5904,0.7198,0.7088,0.5459,0.7071,0.7154,0.8085,0.4917,0.7175,0.5378,0.5704,0.6019,0.8063,0.7802883982658386,0.6503048539161682,0.3439,0.5936,0.691,0.6002,0.6406,0.7003
26,0.5881,0.7918,0.5794,0.6888,0.6779,0.6997,0.6545,0.6784,0.753,0.7559,0.5851,0.6558,0.5862,0.6026,0.7513,0.7118,0.5436,0.7092,0.7175,0.811,0.5863,0.6554,0.6178,0.7026,0.674,0.7894,0.7780346274375916,0.6521422266960144,0.3573,0.6342,0.6602,0.6342,0.6929,0.734
27,0.5906,0.7882,0.5806,0.6992,0.68,0.6313,0.6728,0.633,0.6406,0.7372,0.5855,0.6641,0.5832,0.6086,0.7304,0.714,0.5435,0.7097,0.7226,0.8109,0.491,0.7179,0.5372,0.5711,0.5996,0.7939,0.7768568992614746,0.654007613658905,0.3707,0.6025,0.6773,0.6087,0.6484,0.7116
28,0.6025,0.7846,0.5934,0.6845,0.6873,0.7314,0.6793,0.7465,0.7294,0.7316,0.5712,0.6462,0.577,0.5938,0.7326,0.7218,0.5343,0.724,0.7205,0.8229,0.4948,0.7121,0.5382,0.5636,0.6099,0.7861,0.7738787531852722,0.6546021103858948,0.3839,0.6243,0.6713,0.6358,0.6584,0.7169
29,0.6139,0.7756,0.6033,0.687,0.6975,0.6939,0.6659,0.6749,0.7412,0.744,0.5814,0.6452,0.5831,0.6017,0.7538,0.7248,0.532,0.7272,0.7227,0.8262,0.6002,0.6441,0.6267,0.715,0.6889,0.8166,0.7724800705909729,0.6570041179656982,0.3977,0.6428,0.6526,0.643,0.6935,0.7421
30,0.6148,0.7768,0.6028,0.6947,0.6974,0.6627,0.6624,0.7093,0.6443,0.7298,0.5741,0.6301,0.5792,0.6007,0.7404,0.7253,0.5302,0.7262,0.725,0.8236,0.4969,0.7099,0.5397,0.5645,0.6119,0.7741,0.7667339444160461,0.6612016558647156,0.4108,0.6148,0.6619,0.6314,0.6458,0.7206
31,0.6215,0.7706,0.6084,0.6985,0.703,0.7035,0.639,0.6805,0.7681,0.7643,0.6002,0.6423,0.5995,0.6167,0.7628,0.7287,0.5284,0.7295,0.7283,0.8254,0.5994,0.6468,0.6285,0.7198,0.6865,0.7626,0.7667486071586609,0.6616265773773193,0.4238,0.6507,0.6454,0.6493,0.7063,0.7484
32,0.634,0.7586,0.6211,0.6987,0.7132,0.6667,0.7296,0.6394,0.7249,0.7087,0.5863,0.6473,0.5867,0.6027,0.7524,0.7351,0.5254,0.7371,0.7331,0.8316,0.6054,0.6441,0.6314,0.7237,0.6926,0.7666,0.7631187438964844,0.6632904410362244,0.4367,0.6455,0.661,0.6431,0.6966,0.7397
33,0.6411,0.7566,0.6357,0.6891,0.7152,0.7043,0.6511,0.692,0.7415,0.7449,0.6054,0.6234,0.6022,0.6237,0.783,0.7398,0.5194,0.7483,0.7324,0.8409,0.5009,0.704,0.5392,0.5563,0.6225,0.7556,0.7627096772193909,0.6665003895759583,0.4495,0.6383,0.6509,0.6435,0.6686,0.7413
34,0.6491,0.7505,0.6428,0.6949,0.7212,0.6612,0.677,0.6498,0.6902,0.7268,0.5783,0.65,0.5796,0.5943,0.7429,0.7444,0.5184,0.7532,0.7371,0.8441,0.6,0.6264,0.6279,0.7074,0.6934,0.7617,0.760799765586853,0.6685951948165894,0.4624,0.6466,0.6445,0.6507,0.6848,0.7457
35,0.6549,0.7464,0.6518,0.6947,0.7241,0.661,0.6617,0.6465,0.7101,0.7359,0.5888,0.6327,0.5895,0.6094,0.749,0.7487,0.5156,0.7595,0.7399,0.8476,0.6043,0.6232,0.6307,0.7116,0.6979,0.7705,0.758124589920044,0.6699159145355225,0.4754,0.6515,0.6359,0.6556,0.6931,0.7509
36,0.6618,0.7364,0.662,0.6938,0.7311,0.615,0.7154,0.6037,0.645,0.707,0.6016,0.6105,0.6009,0.6159,0.7694,0.7509,0.5139,0.7633,0.742,0.8499,0.6109,0.6191,0.6334,0.7168,0.7042,0.7709,0.7557608485221863,0.6708276271820068,0.4884,0.648,0.6391,0.6527,0.6827,0.7523
37,0.6645,0.7356,0.6626,0.6992,0.7322,0.6518,0.709,0.632,0.722,0.7085,0.5771,0.6396,0.5791,0.5987,0.7535,0.7542,0.5122,0.7641,0.7466,0.8478,0.4924,0.684,0.532,0.534,0.6237,0.7622,0.7502225637435913,0.6764276623725891,0.5013,0.628,0.6561,0.634,0.6601,0.7331
38,0.6712,0.7265,0.6724,0.6992,0.7385,0.7033,0.6337,0.6858,0.7519,0.7567,0.5976,0.625,0.6007,0.6066,0.775,0.7544,0.5102,0.7666,0.7464,0.852,0.4971,0.6784,0.5333,0.5345,0.6306,0.7518,0.7499902844429016,0.6754739880561829,0.5141,0.6447,0.6348,0.6518,0.6677,0.7506
39,0.673,0.7255,0.6843,0.6928,0.7365,0.5979,0.655,0.6015,0.6206,0.7268,0.6294,0.5998,0.6292,0.6386,0.7964,0.7584,0.5056,0.7783,0.7454,0.8564,0.6281,0.6092,0.6448,0.7344,0.7208,0.7659,0.7532538771629333,0.6761842370033264,0.527,0.6574,0.619,0.6676,0.6864,0.7674
40,0.6801,0.7182,0.6834,0.7045,0.7444,0.7068,0.6279,0.6947,0.7338,0.7607,0.6124,0.6235,0.6066,0.6348,0.7538,0.757,0.5071,0.7693,0.7492,0.8517,0.5021,0.6736,0.5356,0.5364,0.6378,0.7576,0.7469288110733032,0.6783827543258667,0.5399,0.6517,0.6301,0.6579,0.6717,0.7497
41,0.6808,0.7183,0.6794,0.7109,0.7444,0.6986,0.6794,0.6798,0.7445,0.7304,0.615,0.6288,0.609,0.6383,0.7615,0.7575,0.5074,0.7678,0.7506,0.8503,0.4991,0.6761,0.5349,0.5359,0.6327,0.7526,0.7509944438934326,0.6766131520271301,0.5527,0.6502,0.642,0.6542,0.676,0.7439
42,0.6848,0.7104,0.6916,0.7043,0.7486,0.7431,0.6304,0.7415,0.7573,0.7571,0.6136,0.621,0.6079,0.6369,0.7549,0.7637,0.5038,0.7809,0.7537,0.8561,0.5062,0.6689,0.537,0.5376,0.6442,0.7551,0.7442995309829712,0.6807109713554382,0.5654,0.6623,0.6269,0.6718,0.678,0.7522
43,0.6871,0.7073,0.7078,0.6959,0.7489,0.6372,0.6634,0.6296,0.6835,0.7194,0.6062,0.6217,0.6036,0.6242,0.7716,0.7658,0.4979,0.7936,0.7511,0.8631,0.6497,0.5969,0.657,0.7518,0.7417,0.8045,0.7483436465263367,0.6782191395759583,0.579,0.6692,0.6174,0.6783,0.7013,0.7689
44,0.6895,0.7059,0.6962,0.7084,0.7518,0.6943,0.6136,0.6808,0.7277,0.7651,0.5843,0.621,0.588,0.614,0.7387,0.7666,0.5005,0.7836,0.7568,0.8567,0.6399,0.603,0.6527,0.7503,0.7297,1.3482,0.7447099089622498,0.6796535849571228,0.6016,0.6749,0.6088,0.6803,0.7114,0.7684
45,0.6905,0.6973,0.7153,0.6946,0.7542,0.6797,0.6297,0.6661,0.7209,0.7534,0.5921,0.609,0.5918,0.613,0.7677,0.7659,0.4937,0.7983,0.7507,0.8636,0.5106,0.6913,0.5387,0.5429,0.6441,1.9999,0.7391124367713928,0.6844995021820068,0.6352,0.6478,0.6242,0.662,0.6644,0.7566
46,0.6845,0.6967,0.7227,0.6826,0.7509,0.6489,0.6524,0.6627,0.6484,0.7359,0.605,0.591,0.6174,0.6098,0.8,0.7662,0.4877,0.8061,0.7479,0.8649,0.5261,0.6523,0.544,0.5441,0.6841,0.6984,0.7368417978286743,0.6854491233825684,0.647,0.6461,0.616,0.6706,0.6466,0.7672
47,0.6936,0.6943,0.7143,0.7004,0.7555,0.6962,0.6899,0.6685,0.7592,0.7298,0.6308,0.5845,0.6252,0.6474,0.7976,0.7703,0.4913,0.7985,0.7562,0.8645,0.5225,0.6558,0.5436,0.5445,0.6719,0.7658,0.739128828048706,0.6860496401786804,0.6599,0.6627,0.6232,0.67,0.6815,0.7639
48,0.6939,0.6908,0.7188,0.6977,0.7567,0.5872,0.702,0.5889,0.6306,0.6951,0.6079,0.6224,0.6047,0.6243,0.7727,0.7691,0.4896,0.8003,0.7542,0.8638,0.5274,0.6515,0.546,0.5476,0.6795,0.7545,0.7380360960960388,0.6865643262863159,0.6727,0.6371,0.6313,0.6517,0.6509,0.7536
49,0.6901,0.6927,0.7217,0.6904,0.7548,0.6642,0.6516,0.6491,0.7636,0.7342,0.6021,0.5979,0.6136,0.6077,0.7971,0.7687,0.486,0.804,0.7524,0.8647,0.5115,0.689,0.5389,0.5408,0.6481,0.7684,0.737198531627655,0.6851558685302734,0.6856,0.6473,0.6234,0.6655,0.671,0.7598
50,0.6924,0.6924,0.7198,0.6951,0.7555,0.6187,0.6768,0.6107,0.6627,0.7243,0.6329,0.5787,0.6276,0.648,0.8014,0.7718,0.4862,0.8043,0.756,0.8656,0.6777,0.5797,0.6744,0.7756,0.7666,0.7473,0.7387475371360779,0.6857483983039856,0.6983,0.6787,0.6028,0.6874,0.7075,0.7827
51,0.6962,0.6887,0.7161,0.7028,0.7587,0.6566,0.6435,0.6395,0.7072,0.7403,0.5819,0.6266,0.5837,0.6029,0.756,0.7729,0.4873,0.8014,0.759,0.865,0.53,0.6491,0.5479,0.55,0.6822,0.7614,0.7377426624298096,0.686320960521698,0.7112,0.6475,0.619,0.6577,0.6644,0.7604
52,0.6952,0.6875,0.7195,0.6989,0.7587,0.7306,0.6437,0.7084,0.7731,0.752,0.5884,0.6163,0.5876,0.6073,0.7593,0.7728,0.4864,0.8037,0.7579,0.8652,0.643,0.624,0.6578,0.7687,0.7269,0.7587,0.7414920330047607,0.6829453706741333,0.724,0.686,0.6116,0.6954,0.7212,0.7724
53,0.6948,0.6859,0.7191,0.6984,0.7591,0.6528,0.6904,0.6306,0.7438,0.7071,0.5885,0.6158,0.5877,0.6077,0.7591,0.7745,0.4843,0.8065,0.7593,0.8671,0.6441,0.6236,0.6589,0.7703,0.728,0.7553,0.7375245690345764,0.6857144832611084,0.7368,0.6709,0.62,0.6806,0.7159,0.7641
54,0.696,0.6853,0.716,0.7024,0.76,0.7021,0.6588,0.6831,0.7541,0.7395,0.5866,0.6149,0.5876,0.6093,0.7592,0.7759,0.4847,0.8059,0.7614,0.8671,0.5329,0.6467,0.5494,0.5517,0.6874,0.7506,0.7367804050445557,0.6871269345283508,0.7495,0.6587,0.6181,0.6684,0.6758,0.7626
55,0.6966,0.6813,0.7198,0.6998,0.7621,0.6635,0.6144,0.6529,0.7003,0.7538,0.6178,0.6006,0.6141,0.643,0.7655,0.7752,0.4844,0.8078,0.7608,0.867,0.6869,0.5754,0.6798,0.7831,0.7743,0.7633,0.7340183854103088,0.6878111958503723,0.7624,0.688,0.5912,0.6949,0.7174,0.7845
56,0.6984,0.6866,0.7135,0.7082,0.7604,0.6616,0.6541,0.6513,0.768,0.742,0.5805,0.627,0.5841,0.6062,0.7394,0.7751,0.4841,0.8013,0.7621,0.8647,0.6768,0.5801,0.6748,0.7796,0.7645,0.756,0.7330517172813416,0.6887688040733337,0.7752,0.6785,0.6064,0.685,0.7248,0.7742
57,0.6993,0.6774,0.7186,0.7038,0.766,0.6924,0.6464,0.6653,0.7861,0.7522,0.6048,0.5986,0.6064,0.6132,0.7888,0.7736,0.4848,0.8045,0.7606,0.8644,0.6468,0.6227,0.6594,0.7725,0.7297,0.7589,0.7312123775482178,0.6879090070724487,0.788,0.6834,0.606,0.6908,0.7272,0.7802
58,0.6976,0.6837,0.7191,0.7027,0.7612,0.6649,0.6508,0.6452,0.7304,0.7387,0.6131,0.6159,0.6084,0.6366,0.7548,0.7777,0.4803,0.8097,0.7626,0.8693,0.6918,0.5728,0.684,0.7884,0.7783,0.7588,0.7353298664093018,0.6878730654716492,0.8008,0.689,0.6007,0.6933,0.7241,0.7805
59,0.6973,0.6909,0.7138,0.7075,0.7577,0.6846,0.6436,0.6632,0.7815,0.7478,0.6091,0.6224,0.6054,0.6319,0.7574,0.7793,0.4791,0.808,0.764,0.8692,0.536,0.6461,0.5521,0.5554,0.691,0.7522,0.735448956489563,0.6867498755455017,0.8135,0.6613,0.6164,0.6685,0.6881,0.7646
60,0.7008,0.68,0.7173,0.7079,0.765,0.7266,0.6047,0.6998,0.7984,0.7767,0.6037,0.5917,0.6022,0.6195,0.7866,0.7763,0.4819,0.8057,0.7631,0.8652,0.6459,0.6238,0.6601,0.7734,0.7288,0.7493,0.7283226251602173,0.6905025243759155,0.8262,0.6907,0.5964,0.697,0.7325,0.7845
61,0.699,0.6726,0.7251,0.6989,0.7673,0.7069,0.6475,0.6869,0.7595,0.7529,0.6172,0.5691,0.615,0.6298,0.7974,0.7772,0.4795,0.8138,0.7621,0.8684,0.7039,0.5663,0.6906,0.7937,0.7891,0.7599,0.7329875230789185,0.6887449026107788,0.8391,0.7008,0.587,0.7063,0.7288,0.795
62,0.6975,0.6872,0.7175,0.7042,0.7597,0.5988,0.6697,0.6015,0.6402,0.7039,0.6152,0.6031,0.6128,0.6442,0.7585,0.7801,0.4771,0.8114,0.7645,0.8702,0.5142,0.6908,0.5422,0.5439,0.6501,0.7552,0.7336605787277222,0.688220202922821,0.8519,0.6412,0.6256,0.6571,0.6594,0.7485
63,0.6996,0.6799,0.7188,0.7054,0.7637,0.7274,0.6369,0.6995,0.7855,0.7543,0.6385,0.5836,0.639,0.6454,0.8073,0.7795,0.478,0.8115,0.7645,0.8699,0.6478,0.6218,0.6617,0.7754,0.7309,0.7682,0.7310397624969482,0.69029301404953,0.8648,0.6986,0.6,0.7061,0.7352,0.7852
64,0.6968,0.6846,0.7178,0.7029,0.7601,0.7044,0.6384,0.6915,0.7365,0.7496,0.6168,0.5959,0.6149,0.6485,0.7583,0.7811,0.4761,0.8141,0.7647,0.872,0.5145,0.6906,0.5422,0.5445,0.6509,0.81,0.731631875038147,0.6898122429847717,0.8785,0.6627,0.6171,0.6761,0.6794,0.7582
65,0.7024,0.6783,0.7161,0.7114,0.7661,0.6572,0.6609,0.6456,0.7508,0.725,0.6103,0.5932,0.613,0.6196,0.7953,0.7789,0.4804,0.8071,0.7657,0.867,0.545,0.6364,0.5572,0.5621,0.7019,0.7878,0.7353763580322266,0.6865224242210388,0.8918,0.6588,0.6098,0.6678,0.6819,0.7711
66,0.7044,0.6794,0.7114,0.7186,0.7675,0.6479,0.6749,0.6355,0.75,0.7141,0.6362,0.5949,0.6309,0.6492,0.7919,0.7778,0.4812,0.8024,0.7662,0.8654,0.5164,0.6917,0.5447,0.5482,0.6481,0.811,0.7301930785179138,0.6897802948951721,0.9055,0.6565,0.6244,0.665,0.6864,0.7574
67,0.7001,0.6761,0.7203,0.7043,0.7665,0.6261,0.6781,0.6129,0.6942,0.7096,0.6475,0.5609,0.6406,0.663,0.8051,0.7785,0.476,0.8111,0.7639,0.8691,0.5196,0.6833,0.5449,0.5469,0.6566,0.8252,0.7276241183280945,0.6909274458885193,0.9195,0.6544,0.6149,0.666,0.6745,0.7614
68,0.6984,0.682,0.7185,0.7041,0.7629,0.6757,0.6151,0.6826,0.6824,0.7566,0.6171,0.5974,0.6134,0.6416,0.7724,0.7795,0.4742,0.8113,0.7641,0.871,0.5173,0.686,0.5438,0.5459,0.6542,0.8098,0.724332332611084,0.6934351921081543,0.9332,0.6576,0.6109,0.6739,0.6676,0.7634
69,0.7033,0.6841,0.7143,0.7156,0.7641,0.6311,0.6465,0.6284,0.7037,0.7346,0.6388,0.5664,0.6325,0.6593,0.8085,0.7808,0.4754,0.8084,0.7668,0.8694,0.5437,0.6382,0.557,0.5619,0.6997,0.7696,0.7296817898750305,0.6902351975440979,0.9462,0.6595,0.6021,0.6681,0.6815,0.7753
