epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
14,0.7392,0.6496,0.7096,0.8322,0.7875,0.629,0.7091,0.6201,0.6997,0.7186,0.6919,0.772,0.6824,0.7329,0.6787,0.7326,0.6417,0.7213,0.7527,0.7653,0.733,0.6485,0.7097,0.7834,0.7871,1.0102,0.7682353854179382,0.7158492207527161,0.33,0.7051,0.6842,0.6886,0.7602,0.7474
15,0.759,0.6197,0.7252,0.8471,0.8125,0.6514,0.674,0.6368,0.713,0.7417,0.7012,0.7684,0.6911,0.7321,0.6805,0.7337,0.6239,0.7242,0.7545,0.7682,0.7387,0.6242,0.7152,0.7839,0.7935,0.996,0.7549718618392944,0.7236597537994385,0.3468,0.7168,0.662,0.6985,0.7661,0.7593
16,0.7714,0.5935,0.7361,0.8553,0.8279,0.6216,0.6964,0.6176,0.7027,0.7154,0.7542,0.7234,0.7335,0.7942,0.7105,0.737,0.6042,0.7305,0.7564,0.7718,0.7498,0.601,0.7242,0.7959,0.8049,0.9881,0.739463746547699,0.7278752326965332,0.3634,0.7268,0.6437,0.7084,0.7809,0.7661
17,0.7784,0.5754,0.7412,0.8647,0.8381,0.6559,0.6527,0.6409,0.7356,0.7425,0.7617,0.6943,0.7395,0.8039,0.7199,0.7344,0.5936,0.7268,0.757,0.7739,0.7491,0.5873,0.7234,0.7958,0.8066,1.0135,0.7322977185249329,0.7318432927131653,0.3805,0.7359,0.6207,0.7144,0.7914,0.7762
18,0.7857,0.5556,0.7475,0.8706,0.8463,0.6176,0.693,0.6151,0.7219,0.7012,0.7631,0.7066,0.7389,0.8107,0.7133,0.7381,0.5822,0.733,0.76,0.776,0.7519,0.5724,0.7267,0.7956,0.8092,1.0295,0.7225819826126099,0.7346323728561401,0.3978,0.7313,0.622,0.7122,0.7918,0.7692
19,0.7901,0.541,0.751,0.8761,0.8516,0.6601,0.6352,0.6425,0.7313,0.7468,0.7698,0.6931,0.7434,0.8307,0.7202,0.7374,0.5748,0.7317,0.7617,0.777,0.7482,0.5625,0.7244,0.7882,0.8052,0.9718,0.7166044116020203,0.7350393533706665,0.4142,0.7411,0.6013,0.7186,0.7976,0.7802
20,0.7895,0.5344,0.7501,0.8785,0.853,0.6746,0.6153,0.6552,0.7535,0.7579,0.7273,0.708,0.7119,0.758,0.7062,0.7386,0.5675,0.7299,0.7657,0.7793,0.7398,0.5439,0.7138,0.7985,0.8112,0.9564,0.7091060876846313,0.7372418642044067,0.4303,0.734,0.5938,0.7122,0.7908,0.7815
21,0.7941,0.5209,0.7546,0.8809,0.8554,0.6777,0.607,0.6577,0.739,0.7651,0.738,0.6825,0.7211,0.7719,0.7211,0.7427,0.5559,0.7366,0.7668,0.7836,0.7442,0.5291,0.7183,0.8063,0.8169,0.9805,0.7002893686294556,0.7414493560791016,0.4469,0.7393,0.5791,0.7177,0.793,0.7884
22,0.7947,0.513,0.7546,0.8838,0.8583,0.6728,0.6093,0.6529,0.746,0.757,0.7341,0.6884,0.7159,0.7765,0.7198,0.7426,0.5526,0.7352,0.7693,0.7841,0.743,0.5276,0.7175,0.8125,0.8156,0.9389,0.699159562587738,0.7418084740638733,0.4627,0.7374,0.5782,0.7152,0.7976,0.787
23,0.7975,0.5039,0.757,0.8865,0.8614,0.6427,0.6323,0.6324,0.7363,0.7292,0.7781,0.6572,0.7527,0.8316,0.7309,0.7414,0.551,0.7345,0.7694,0.7849,0.7488,0.5369,0.724,0.7918,0.8083,0.9412,0.6920272707939148,0.744525671005249,0.4785,0.7417,0.5763,0.7201,0.8031,0.7829
24,0.8032,0.4927,0.7629,0.8877,0.8641,0.6537,0.6166,0.6395,0.7352,0.7427,0.7818,0.6398,0.7554,0.8404,0.7418,0.7464,0.5417,0.7423,0.7704,0.7892,0.744,0.5158,0.7179,0.8061,0.815,0.9651,0.6874764561653137,0.7461057305335999,0.4948,0.7458,0.5613,0.7236,0.808,0.7906
25,0.8033,0.4892,0.7631,0.8879,0.8639,0.6606,0.605,0.6431,0.7318,0.7493,0.7841,0.6442,0.7566,0.8507,0.7419,0.7495,0.5358,0.745,0.7727,0.7921,0.7466,0.5091,0.7209,0.8137,0.8191,0.9576,0.6812525987625122,0.7496069669723511,0.5109,0.7488,0.5567,0.7257,0.8114,0.7933
26,0.8017,0.4838,0.7608,0.8903,0.8658,0.6664,0.6032,0.649,0.7478,0.7519,0.747,0.6587,0.7325,0.7716,0.7283,0.7477,0.5364,0.7403,0.7752,0.7916,0.7503,0.5221,0.7249,0.7956,0.8108,0.9535,0.6826106905937195,0.7486234307289124,0.527,0.7426,0.5608,0.7215,0.7961,0.7897
