epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.3329,1.0759,0.4865,0.3983,0.5258,0.2205,1.1447,0.3862,0.3287,0.4568,0.3562,1.0585,0.4557,0.404,0.5949,0.3499,1.0263,0.447,0.3714,0.67,0.3081,1.073,0.4056,0.3634,0.546,1.1622,1.112496256828308,0.3819327056407928,0.0194,0.3135,1.0757,0.4362,0.3732,0.5587
1,0.4574,0.9962,0.5174,0.4898,0.6731,0.3186,1.0748,0.4625,0.3811,0.5312,0.4592,1.0159,0.4948,0.4829,0.6648,0.4832,0.9895,0.4955,0.4866,0.7424,0.4161,1.0301,0.4466,0.4391,0.6291,0.5014,1.065799117088318,0.4484367072582245,0.0279,0.4269,1.0213,0.4834,0.4559,0.6481
2,0.545,0.928,0.5827,0.5671,0.7954,0.3936,1.0361,0.4724,0.4255,0.5922,0.5031,0.9704,0.5335,0.5233,0.7125,0.5256,0.9508,0.5097,0.5425,0.7747,0.495,0.9813,0.4922,0.5149,0.7173,0.4973,1.031407594680786,0.5146195292472839,0.0363,0.4925,0.9733,0.5181,0.5147,0.7184
3,0.5944,0.8523,0.6487,0.6136,0.8685,0.4397,0.998,0.4861,0.4585,0.6394,0.5264,0.9227,0.5821,0.5449,0.7407,0.5393,0.9123,0.5475,0.5652,0.7837,0.5274,0.9315,0.516,0.5491,0.7584,0.4943,1.000008463859558,0.5536401271820068,0.0446,0.5254,0.9234,0.5561,0.5463,0.7581
4,0.6144,0.7753,0.6792,0.6322,0.8969,0.4556,0.9742,0.4643,0.4695,0.6561,0.5436,0.8765,0.6056,0.5616,0.7668,0.5428,0.8775,0.5707,0.5738,0.7839,0.5405,0.8851,0.5435,0.5639,0.7753,0.4855,0.9678232073783876,0.5750406980514526,0.0527,0.5394,0.8777,0.5727,0.5602,0.7758
5,0.6241,0.7016,0.7068,0.6407,0.9091,0.469,0.9524,0.481,0.4798,0.6682,0.5548,0.8363,0.6736,0.5719,0.7828,0.5483,0.8439,0.6299,0.5797,0.7841,0.5365,0.8596,0.5604,0.5611,0.7679,0.4673,0.9351147413253784,0.5903245210647583,0.0606,0.5465,0.8388,0.6103,0.5666,0.7824
6,0.629,0.6403,0.7299,0.6448,0.9143,0.4934,0.9291,0.5155,0.5019,0.6936,0.5575,0.8093,0.6717,0.574,0.7825,0.5497,0.8101,0.5963,0.5817,0.788,0.5477,0.8199,0.6341,0.5686,0.7795,0.4573,0.9061480164527892,0.6007664799690247,0.0683,0.5555,0.8017,0.6295,0.5742,0.7916
7,0.6334,0.5919,0.7209,0.6478,0.9177,0.5083,0.9194,0.5221,0.5093,0.6853,0.5674,0.7817,0.6516,0.5828,0.7912,0.5636,0.7903,0.6219,0.5902,0.7887,0.5602,0.8001,0.6489,0.5765,0.78,0.4546,0.8836236596107483,0.6034896969795227,0.076,0.5666,0.7767,0.6331,0.5813,0.7926
8,0.6361,0.5521,0.7207,0.65,0.9204,0.5078,0.9318,0.5252,0.5097,0.6749,0.5713,0.7573,0.6873,0.585,0.7974,0.5769,0.7702,0.622,0.5983,0.7913,0.5847,0.758,0.6659,0.5973,0.7992,0.4657,0.8602051138877869,0.6106637716293335,0.0839,0.5754,0.7539,0.6442,0.5881,0.7966
9,0.647,0.5245,0.7362,0.6557,0.9219,0.5218,0.9339,0.5366,0.5258,0.6716,0.5768,0.7497,0.6624,0.5868,0.7925,0.5965,0.761,0.6293,0.6116,0.7917,0.6091,0.7619,0.6761,0.607,0.7918,0.4602,0.8457289934158325,0.6106159090995789,0.0917,0.5902,0.7462,0.6481,0.5974,0.7939
