epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.2339,1.0769,0.3392,0.3421,0.3687,0.2702,1.0534,0.4736,0.3527,0.4662,0.2988,1.0566,0.4746,0.3896,0.4517,0.3659,1.0164,0.4661,0.3891,0.635,0.2946,1.0433,0.4412,0.3719,0.4942,7.306,1.0927718877792358,0.3883746266365051,0.1218,0.2927,1.0493,0.4389,0.3691,0.4832
1,0.3523,1.0291,0.4611,0.4168,0.4797,0.3624,1.0082,0.513,0.4116,0.5473,0.4395,0.9988,0.5283,0.4772,0.5947,0.458,0.9746,0.5528,0.4561,0.7106,0.4836,0.9918,0.5529,0.5008,0.637,3.795,1.0569840669631958,0.4615818858146667,0.1851,0.4192,1.0005,0.5216,0.4525,0.5939
2,0.4496,0.9895,0.5157,0.4872,0.5866,0.4336,0.9713,0.5286,0.4631,0.6045,0.5309,0.9447,0.5744,0.5545,0.6901,0.5101,0.9393,0.5709,0.5025,0.7365,0.6025,0.9426,0.6311,0.6078,0.7232,2.6331,1.0216166973114014,0.5420011878013611,0.2291,0.5053,0.9575,0.5641,0.523,0.6682
3,0.4997,0.9493,0.5398,0.528,0.6493,0.5162,0.9236,0.5715,0.5427,0.6685,0.5841,0.8841,0.603,0.6044,0.7572,0.5415,0.9037,0.5811,0.535,0.7454,0.6837,0.8768,0.7065,0.6813,0.7902,2.0642,0.9855541586875916,0.5961001515388489,0.2636,0.565,0.9075,0.6004,0.5783,0.7221
4,0.5323,0.9076,0.5577,0.5592,0.684,0.5633,0.8752,0.5987,0.5803,0.7121,0.6088,0.8317,0.6182,0.6263,0.7908,0.5707,0.8757,0.5898,0.5719,0.7475,0.6845,0.843,0.6908,0.6856,0.7874,1.6238,0.9483376741409302,0.6284274458885193,0.2907,0.5919,0.8666,0.611,0.6047,0.7444
5,0.5495,0.8664,0.568,0.577,0.7025,0.6084,0.858,0.6257,0.6324,0.7285,0.6485,0.7525,0.6493,0.6605,0.8416,0.5924,0.8433,0.6026,0.5984,0.7556,0.7143,0.7797,0.7278,0.7093,0.818,1.3352,0.9155871868133544,0.6445491909980774,0.3131,0.6226,0.82,0.6347,0.6355,0.7692
6,0.5548,0.8347,0.5723,0.583,0.7083,0.6204,0.8271,0.6397,0.6338,0.7428,0.6252,0.7247,0.6296,0.6406,0.8179,0.606,0.798,0.6206,0.6076,0.7706,0.712,0.7419,0.7322,0.7044,0.8145,1.1423,0.8855597972869873,0.6586639881134033,0.3322,0.6237,0.7853,0.6389,0.6339,0.7708
7,0.5669,0.8127,0.5839,0.6049,0.7103,0.6114,0.817,0.6206,0.6387,0.7355,0.6602,0.6638,0.6585,0.673,0.8494,0.6176,0.7721,0.6313,0.6282,0.7711,0.7358,0.7072,0.7384,0.7391,0.8273,0.9742,0.8631601929664612,0.6660794615745544,0.3485,0.6384,0.7546,0.6465,0.6568,0.7787
8,0.5825,0.7824,0.5951,0.6264,0.7247,0.6441,0.8067,0.6492,0.6719,0.748,0.6724,0.6436,0.6682,0.6953,0.8389,0.6251,0.7485,0.637,0.6409,0.7701,0.7222,0.6941,0.7249,0.727,0.8133,0.8751,0.841332733631134,0.6773653030395508,0.3632,0.6493,0.7351,0.6549,0.6723,0.779
9,0.5857,0.7725,0.6005,0.6382,0.7215,0.6297,0.7957,0.6375,0.6558,0.7507,0.6895,0.6051,0.6829,0.7101,0.8574,0.6346,0.7165,0.655,0.6552,0.7806,0.73,0.6734,0.7306,0.7401,0.813,0.7871,0.8250994086265564,0.6849284172058105,0.3765,0.6539,0.7126,0.6613,0.6799,0.7846
