epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.4967,0.8959,0.503,0.5045,0.7318,0.3806,1.0007,0.3994,0.3952,0.5565,0.4321,0.9818,0.4368,0.4436,0.5507,0.4922,0.899,0.4811,0.53,0.7179,0.3452,1.0403,0.3801,0.3833,0.4931,3.99,1.1138042211532593,0.4105752110481262,0.0665,0.4294,0.9635,0.4401,0.4513,0.61
1,0.5279,0.8765,0.566,0.5393,0.766,0.3897,0.984,0.421,0.397,0.5531,0.4866,0.9183,0.486,0.4977,0.6868,0.5195,0.8427,0.5071,0.5411,0.7831,0.3936,0.9758,0.4939,0.4232,0.5539,2.1691,1.044449806213379,0.474559485912323,0.1028,0.4635,0.9195,0.4948,0.4797,0.6686
2,0.5728,0.856,0.6829,0.5724,0.7884,0.4671,0.9642,0.4801,0.4605,0.5809,0.4867,0.9216,0.5129,0.4954,0.6642,0.5448,0.8107,0.6066,0.5566,0.8072,0.5003,0.9236,0.6318,0.5068,0.6335,1.7235,1.0138063430786133,0.5003930330276489,0.1316,0.5143,0.8952,0.5829,0.5183,0.6948
3,0.6511,0.8203,0.7263,0.6329,0.8206,0.5056,0.9618,0.4953,0.5674,0.5725,0.5364,0.8905,0.5756,0.5313,0.6948,0.5795,0.773,0.6754,0.5814,0.8262,0.522,0.9435,0.557,0.52,0.5924,1.2812,0.982550084590912,0.5386415719985962,0.153,0.5589,0.8778,0.6059,0.5666,0.7013
4,0.7051,0.7768,0.7283,0.6929,0.8402,0.4683,0.9401,0.493,0.5646,0.5408,0.57,0.8228,0.6025,0.5666,0.7641,0.61,0.7266,0.6984,0.5989,0.8343,0.5563,0.9207,0.5576,0.5701,0.6134,1.1001,0.9506508111953736,0.5733728408813477,0.1714,0.5819,0.8374,0.616,0.5986,0.7186
5,0.7233,0.731,0.723,0.7275,0.8456,0.4348,0.9576,0.4935,0.5789,0.5078,0.5501,0.8029,0.5804,0.5534,0.7383,0.6319,0.6795,0.6972,0.6126,0.8365,0.6437,0.8532,0.6459,0.6431,0.699,0.8978,0.919079065322876,0.5948672294616699,0.1865,0.5968,0.8048,0.628,0.6231,0.7254
6,0.7364,0.6827,0.7286,0.7474,0.8602,0.4567,0.9204,0.5171,0.5931,0.5374,0.56,0.7764,0.5811,0.5629,0.7479,0.642,0.6429,0.6902,0.6249,0.8402,0.5903,0.861,0.5827,0.6197,0.6511,0.7346,0.8917800784111023,0.6072183847427368,0.1988,0.5971,0.7767,0.6199,0.6296,0.7274
7,0.7438,0.6402,0.7298,0.7648,0.8679,0.418,0.9103,0.4943,0.5258,0.5204,0.5758,0.7439,0.5814,0.5796,0.7485,0.6582,0.6102,0.69,0.6433,0.8442,0.6373,0.7832,0.6328,0.6435,0.7207,0.6546,0.8650781512260437,0.620030403137207,0.2098,0.6066,0.7376,0.6257,0.6314,0.7403
8,0.7475,0.5995,0.733,0.7691,0.8733,0.4319,0.9057,0.506,0.5331,0.5242,0.5843,0.6836,0.5958,0.5921,0.7674,0.6609,0.5761,0.6922,0.6466,0.8477,0.655,0.7531,0.6722,0.6446,0.7426,0.6295,0.8414886593818665,0.629684329032898,0.2204,0.6159,0.7036,0.6398,0.6371,0.751
9,0.7465,0.5699,0.73,0.7741,0.8735,0.4926,0.8521,0.5661,0.6485,0.5746,0.5696,0.6872,0.5778,0.5756,0.7553,0.6664,0.5536,0.6891,0.6548,0.8482,0.6479,0.7607,0.6389,0.6788,0.718,0.5372,0.8184894919395447,0.6397651433944702,0.2296,0.6246,0.6847,0.6404,0.6664,0.7539
