epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.5397,1.0131,0.5458,0.6127,0.6292,0.4443,1.0551,0.4593,0.5074,0.5121,0.5164,1.0277,0.5275,0.5264,0.5999,0.5466,0.9922,0.5752,0.539,0.6591,0.4598,1.0457,0.4705,0.4991,0.5394,3.1355,1.0881882905960083,0.4240376055240631,0.0523,0.5014,1.0268,0.5157,0.5369,0.5879
1,0.6828,0.9024,0.7261,0.6787,0.7889,0.5196,0.9705,0.519,0.5416,0.628,0.6546,0.907,0.701,0.6411,0.7892,0.5585,0.8972,0.6991,0.5301,0.7237,0.6354,0.918,0.6353,0.6363,0.776,1.8145,1.0068985223770142,0.5741907954216003,0.0828,0.6102,0.919,0.6561,0.6056,0.7412
2,0.7038,0.813,0.7872,0.6854,0.8382,0.5616,0.9077,0.5564,0.573,0.6816,0.6307,0.8368,0.713,0.6198,0.8036,0.54,0.8373,0.7076,0.5201,0.7281,0.6314,0.8695,0.636,0.6281,0.7735,1.5556,0.954617977142334,0.6083356142044067,0.1088,0.6135,0.8529,0.68,0.6053,0.765
3,0.7144,0.7456,0.7975,0.6945,0.8553,0.5899,0.8619,0.582,0.6049,0.7065,0.6884,0.7686,0.7558,0.6703,0.8337,0.5486,0.7965,0.706,0.5277,0.7314,0.6827,0.7838,0.6948,0.6748,0.8275,1.4476,0.9152896404266356,0.6237870454788208,0.1333,0.6448,0.7913,0.7072,0.6344,0.7909
4,0.7398,0.6974,0.7915,0.7233,0.8641,0.6056,0.8259,0.5969,0.6295,0.7236,0.7069,0.7336,0.745,0.6896,0.8327,0.5718,0.7685,0.6926,0.5462,0.7376,0.6591,0.7821,0.6538,0.6667,0.7884,1.2715,0.8882071375846863,0.6351885795593262,0.1546,0.6566,0.7615,0.696,0.6511,0.7893
5,0.765,0.6618,0.7858,0.7596,0.8702,0.5921,0.8215,0.589,0.6444,0.6967,0.6835,0.7193,0.7047,0.6751,0.8162,0.6111,0.7493,0.7009,0.5792,0.747,0.7019,0.7225,0.6919,0.72,0.8217,1.166,0.8651430606842041,0.6503188014030457,0.1741,0.6707,0.7349,0.6945,0.6757,0.7904
6,0.7804,0.6306,0.7803,0.7897,0.8744,0.5946,0.8228,0.5972,0.6685,0.6892,0.7038,0.6896,0.716,0.7006,0.8217,0.6357,0.734,0.701,0.6049,0.7522,0.7027,0.7039,0.6911,0.7393,0.8133,1.1332,0.8456123471260071,0.6647747159004211,0.1932,0.6834,0.7162,0.6971,0.7006,0.7902
7,0.7926,0.6022,0.7824,0.8128,0.8774,0.6025,0.7801,0.6062,0.6712,0.7029,0.7081,0.6751,0.7086,0.7148,0.8202,0.6458,0.7178,0.7045,0.6159,0.7546,0.6692,0.738,0.6639,0.7289,0.7659,1.0649,0.8273004293441772,0.6793942451477051,0.2111,0.6836,0.7026,0.6931,0.7087,0.7842
8,0.8028,0.5723,0.7843,0.8337,0.8817,0.5937,0.7948,0.6084,0.6887,0.6831,0.7676,0.6314,0.7493,0.7975,0.8424,0.6654,0.7021,0.7167,0.6367,0.7614,0.7008,0.6738,0.6927,0.763,0.7997,1.0561,0.806867778301239,0.6891080141067505,0.2289,0.7061,0.6749,0.7103,0.7439,0.7937
9,0.8085,0.5506,0.7874,0.8438,0.8821,0.5767,0.8056,0.6044,0.6879,0.6598,0.7859,0.6,0.7687,0.8129,0.8535,0.6713,0.6836,0.7259,0.6413,0.765,0.7026,0.6599,0.6955,0.7739,0.7968,1.1064,0.7888477444648743,0.6984726190567017,0.2475,0.709,0.6599,0.7164,0.752,0.7914
