epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,0.2526,1.1011,0.2658,0.316,0.4047,0.3526,1.0513,0.343,0.363,0.515,0.4642,1.0233,0.4519,0.485,0.6641,0.4588,0.9578,0.4524,0.4682,0.7574,0.3754,1.0456,0.3978,0.3994,0.5685,1.775,1.0692589282989502,0.4455040097236633,0.0296,0.3807,1.0358,0.3822,0.4063,0.5819
1,0.2279,1.099,0.2299,0.2868,0.3662,0.3346,1.036,0.326,0.3458,0.488,0.392,0.9928,0.4248,0.4378,0.5947,0.4751,0.8687,0.4746,0.4817,0.7804,0.3876,1.023,0.3975,0.4073,0.5767,0.7751,1.0293629169464111,0.4997107088565826,0.0426,0.3634,1.0039,0.3706,0.3919,0.5612
2,0.218,1.1071,0.2158,0.2628,0.3394,0.3751,0.9918,0.3675,0.3904,0.549,0.4116,0.9444,0.44,0.4545,0.6372,0.4962,0.7883,0.4913,0.5045,0.799,0.4541,0.9769,0.4498,0.4707,0.6595,0.6727,0.990341067314148,0.5175501704216003,0.0539,0.391,0.9617,0.3929,0.4166,0.5968
3,0.2281,1.1202,0.2263,0.2619,0.3446,0.4006,0.955,0.3934,0.4179,0.5872,0.4692,0.8613,0.4816,0.5052,0.6929,0.519,0.7144,0.5089,0.5306,0.819,0.5003,0.9266,0.8302,0.5175,0.7243,0.5992,0.9463636875152588,0.5444590449333191,0.064,0.4234,0.9155,0.4881,0.4466,0.6336
4,0.2403,1.1771,0.4416,0.2649,0.3448,0.4148,0.9353,0.5539,0.4282,0.5968,0.4617,0.8233,0.4808,0.4999,0.6926,0.5259,0.6408,0.5147,0.5383,0.8256,0.5066,0.8861,0.5438,0.5218,0.7215,0.5512,0.8970763683319092,0.5709449052810669,0.0737,0.4299,0.8925,0.507,0.4506,0.6363
5,0.3114,1.2481,0.4373,0.3055,0.3589,0.5064,0.8787,0.5264,0.4999,0.6395,0.5034,0.7465,0.5338,0.5343,0.7613,0.5452,0.6032,0.6097,0.5553,0.8265,0.5882,0.8161,0.6204,0.5844,0.7692,0.4919,0.8543199300765991,0.5907455086708069,0.082,0.4909,0.8585,0.5455,0.4959,0.6711
6,0.3618,1.3181,0.401,0.355,0.3706,0.5044,0.8784,0.5059,0.5175,0.614,0.5533,0.69,0.5696,0.5697,0.7914,0.5748,0.5756,0.6249,0.5742,0.8235,0.6069,0.8184,0.6079,0.6071,0.7177,0.4685,0.8173489570617676,0.6165151596069336,0.0899,0.5202,0.8561,0.5419,0.5247,0.6634
7,0.3851,1.3736,0.3937,0.3932,0.3796,0.4914,0.884,0.4873,0.5495,0.5739,0.552,0.725,0.5758,0.5637,0.7533,0.5899,0.5588,0.6186,0.586,0.818,0.6146,0.7676,0.6164,0.613,0.7454,0.441,0.7925314903259277,0.6355018019676208,0.0974,0.5266,0.8618,0.5384,0.5411,0.654
8,0.398,1.413,0.3984,0.4128,0.3883,0.5229,0.8737,0.5197,0.5756,0.6084,0.5816,0.6589,0.5852,0.592,0.779,0.5975,0.5416,0.6199,0.5946,0.8164,0.644,0.7334,0.6343,0.6736,0.7368,0.4398,0.7730294466018677,0.6506958603858948,0.1048,0.5488,0.8441,0.5515,0.5697,0.6658
9,0.4074,1.4386,0.4,0.4332,0.3951,0.4617,0.9107,0.466,0.5182,0.5491,0.576,0.6534,0.579,0.5897,0.7625,0.6088,0.5245,0.6253,0.6051,0.8174,0.6488,0.7056,0.6384,0.6882,0.7382,0.4304,0.7577868103981018,0.6590589880943298,0.1121,0.5405,0.8466,0.5417,0.5669,0.6525
10,0.4164,1.4599,0.4012,0.4554,0.4045,0.5168,0.7999,0.5312,0.5884,0.6097,0.586,0.6374,0.5881,0.5959,0.7726,0.6171,0.527,0.6243,0.6178,0.8112,0.635,0.6743,0.6285,0.6552,0.75,0.4209,0.7451387643814087,0.6658580303192139,0.1192,0.5543,0.8197,0.5547,0.5825,0.6696
11,0.4197,1.4714,0.4007,0.4735,0.408,0.4828,0.8609,0.5147,0.6022,0.5516,0.602,0.6266,0.6004,0.6138,0.7685,0.6227,0.5146,0.6241,0.6249,0.8103,0.6359,0.7066,0.6286,0.6944,0.7145,0.4174,0.7378886342048645,0.6704246401786804,0.1263,0.5526,0.836,0.5537,0.6018,0.6506
12,0.4253,1.477,0.405,0.4783,0.4154,0.4912,0.818,0.5279,0.6004,0.5663,0.5942,0.5898,0.5961,0.6112,0.7647,0.6214,0.5148,0.6215,0.6261,0.8064,0.6419,0.6501,0.635,0.6717,0.748,0.419,0.7299318909645081,0.6755897402763367,0.1334,0.5548,0.8099,0.5571,0.5975,0.6602
13,0.427,1.4853,0.4069,0.479,0.4163,0.5044,0.8015,0.5331,0.6107,0.5945,0.6021,0.5708,0.603,0.6156,0.7786,0.6266,0.5008,0.628,0.6296,0.8103,0.6454,0.6473,0.6362,0.6797,0.743,0.4196,0.7230404019355774,0.6767148971557617,0.1405,0.5611,0.8011,0.5614,0.6029,0.6685
14,0.4261,1.5021,0.4044,0.4919,0.4162,0.5173,0.7632,0.5645,0.6493,0.6034,0.5738,0.6328,0.5802,0.597,0.7399,0.6305,0.4906,0.6274,0.6354,0.8098,0.643,0.6807,0.6304,0.6748,0.7289,0.4208,0.7122904062271118,0.6850301623344421,0.1477,0.5581,0.8139,0.5614,0.6097,0.6596
15,0.4326,1.5003,0.41,0.4904,0.4238,0.4463,0.9277,0.4867,0.5606,0.5043,0.6195,0.5928,0.617,0.6295,0.7792,0.6291,0.4986,0.6263,0.6366,0.8054,0.6511,0.7039,0.6381,0.7101,0.7192,0.4154,0.7138299942016602,0.6839748024940491,0.1547,0.5557,0.8447,0.5556,0.6054,0.6464
16,0.4333,1.5084,0.4113,0.4909,0.4228,0.5228,0.7565,0.5703,0.6386,0.6064,0.6072,0.5669,0.6093,0.6273,0.7647,0.6335,0.4849,0.6313,0.639,0.81,0.6542,0.6228,0.6453,0.6991,0.7451,0.4098,0.7067568898200989,0.6873044967651367,0.1617,0.5702,0.7879,0.5735,0.619,0.6698
17,0.4338,1.5281,0.4099,0.4978,0.4257,0.5107,0.7688,0.5689,0.6384,0.5888,0.5986,0.6123,0.5979,0.6254,0.7419,0.6334,0.4926,0.6262,0.6448,0.8035,0.6472,0.6531,0.6366,0.6917,0.7316,0.4106,0.7044795751571655,0.6880207061767578,0.1686,0.5647,0.811,0.5679,0.6196,0.6583
18,0.4369,1.5324,0.4122,0.5008,0.4299,0.4886,0.7848,0.5553,0.5961,0.5716,0.5711,0.608,0.5908,0.6192,0.7114,0.6333,0.4963,0.625,0.6468,0.8014,0.6472,0.6502,0.6371,0.6943,0.7302,0.4112,0.7032588124275208,0.6891259551048279,0.1756,0.5554,0.8143,0.5641,0.6114,0.6489
19,0.44,1.5322,0.416,0.4972,0.4319,0.5137,0.7637,0.5763,0.6479,0.5929,0.5985,0.5906,0.5992,0.6195,0.7526,0.6335,0.4905,0.627,0.6452,0.8037,0.657,0.6685,0.6497,0.7313,0.7256,0.4108,0.6964582204818726,0.6910272240638733,0.1826,0.5685,0.8091,0.5736,0.6282,0.6613
20,0.4396,1.5471,0.4152,0.4992,0.4315,0.5045,0.7982,0.5671,0.6442,0.5798,0.6089,0.5629,0.6125,0.6403,0.7547,0.6374,0.4899,0.6288,0.6513,0.8033,0.6617,0.6277,0.6651,0.7559,0.7317,0.4099,0.6963605880737305,0.6911509037017822,0.1896,0.5704,0.8052,0.5777,0.6382,0.6602
21,0.4427,1.5402,0.4182,0.501,0.4358,0.5081,0.7621,0.5664,0.6315,0.5927,0.5884,0.6376,0.5907,0.6197,0.7333,0.6401,0.4857,0.6318,0.6534,0.8053,0.6633,0.6374,0.662,0.7562,0.7314,0.416,0.6932236552238464,0.6934531331062317,0.1966,0.5685,0.8126,0.5738,0.6324,0.6597
22,0.4445,1.5486,0.4198,0.5009,0.438,0.4863,0.8141,0.5513,0.6261,0.5604,0.5811,0.6127,0.5892,0.6147,0.7297,0.6411,0.4901,0.6324,0.6558,0.8034,0.6476,0.6283,0.6603,0.7549,0.714,0.4199,0.6937061548233032,0.6919409036636353,0.2038,0.5601,0.8188,0.5706,0.6305,0.6491
23,0.4441,1.5598,0.4203,0.499,0.4345,0.502,0.7681,0.5854,0.6294,0.5747,0.5955,0.5719,0.6056,0.6296,0.7439,0.6448,0.477,0.6374,0.6564,0.8095,0.6792,0.5995,0.6672,0.7338,0.761,0.4157,0.6927452683448792,0.6929643750190735,0.2108,0.5731,0.7953,0.5832,0.6296,0.6647
24,0.4471,1.566,0.4216,0.5053,0.4402,0.5261,0.7622,0.5823,0.6663,0.6095,0.5914,0.617,0.5947,0.6212,0.7375,0.6392,0.492,0.6291,0.6562,0.8006,0.6449,0.6257,0.6603,0.7555,0.7104,0.3929,0.6918996572494507,0.6933294534683228,0.2177,0.5697,0.8126,0.5776,0.6409,0.6596
25,0.4487,1.5632,0.425,0.5011,0.4394,0.4739,0.8245,0.5552,0.5866,0.5496,0.58,0.6301,0.5868,0.6133,0.7306,0.6473,0.4713,0.6406,0.6579,0.812,0.6632,0.6463,0.6571,0.7448,0.7315,0.4251,0.6845613718032837,0.6974790692329407,0.2249,0.5626,0.8271,0.5729,0.6207,0.6526
26,0.4475,1.5763,0.4242,0.4998,0.4364,0.506,0.7545,0.5895,0.6452,0.5862,0.6056,0.585,0.6063,0.6337,0.7523,0.6499,0.4666,0.6428,0.6604,0.8141,0.6704,0.6196,0.6696,0.7675,0.7377,0.402,0.6874841451644897,0.6962401866912842,0.2318,0.5759,0.8004,0.5865,0.6413,0.6653
